epoch,iteration,wd,gradient_penality,wd_loss,generator_loss
0,0,0.000216267304494977,9.99942398071289,9.999640464782715,0.003723274450749159
0,100,-2.5251624584198,9.757749557495117,7.232586860656738,-0.6151564717292786
0,200,-8.351335525512695,8.93030834197998,0.5789728164672852,2.7499513626098633
0,300,-10.553236961364746,8.080796241760254,-2.472440719604492,1.232723593711853
0,400,-4.289273262023926,7.543831825256348,3.254558563232422,-7.054246425628662
0,500,-0.4776115417480469,8.38850212097168,7.910890579223633,-15.345434188842773
1,0,-2.2662906646728516,8.465422630310059,6.199131965637207,-15.185019493103027
1,100,-3.041959762573242,8.014253616333008,4.972293853759766,-9.984989166259766
1,200,-1.5273332595825195,7.242931365966797,5.715598106384277,-10.986157417297363
1,300,-11.125121116638184,6.3461408615112305,-4.778980255126953,1.9192004203796387
1,400,-9.79876708984375,5.518198013305664,-4.280569076538086,-3.0305376052856445
1,500,-12.29269027709961,5.6602630615234375,-6.632427215576172,0.013878852128982544
2,0,-8.461709976196289,5.605134963989258,-2.8565750122070312,-1.9705305099487305
2,100,-10.756591796875,5.651729106903076,-5.104862689971924,-6.490775108337402
2,200,-2.0396060943603516,5.106689453125,3.0670833587646484,-11.08210563659668
2,300,-0.2112560272216797,5.972629070281982,5.761373043060303,-18.21441650390625
2,400,-7.615421772003174,4.955728530883789,-2.6596932411193848,-4.188390731811523
2,500,-1.267888069152832,4.866366863250732,3.5984787940979004,-11.254707336425781
3,0,1.0390701293945312,4.7643046379089355,5.803374767303467,-9.237889289855957
3,100,-11.277352333068848,5.068924427032471,-6.208427906036377,-2.338883399963379
3,200,-1.6802945137023926,4.812549591064453,3.1322550773620605,-4.017125129699707
3,300,-9.362831115722656,5.286792755126953,-4.076038360595703,-8.052679061889648
3,400,-11.495649337768555,5.233737945556641,-6.261911392211914,4.9268012046813965
3,500,-12.831169128417969,4.992328643798828,-7.838840484619141,6.148659706115723
4,0,-15.375706672668457,5.087143898010254,-10.288562774658203,1.5789904594421387
4,100,-6.1120758056640625,4.566321849822998,-1.5457539558410645,1.0932884216308594
4,200,-15.484235763549805,4.342133522033691,-11.142102241516113,8.358362197875977
4,300,-20.27850341796875,4.357389450073242,-15.921113967895508,12.790388107299805
4,400,-22.879425048828125,4.3180646896362305,-18.561359405517578,7.283726215362549
4,500,-17.605365753173828,4.918365955352783,-12.687000274658203,8.174222946166992
5,0,4.432723045349121,4.394303321838379,8.8270263671875,-7.108739852905273
5,100,1.4589512348175049,3.970508098602295,5.429459571838379,6.091376781463623
5,200,-12.404582977294922,4.35336971282959,-8.051213264465332,7.718456745147705
5,300,-11.214962005615234,4.7773942947387695,-6.437567710876465,-6.382874488830566
5,400,-11.496194839477539,4.080950736999512,-7.415244102478027,2.481825828552246
5,500,-22.606685638427734,4.521421909332275,-18.085264205932617,4.779409885406494
6,0,-17.014205932617188,4.394184112548828,-12.62002182006836,12.913235664367676
6,100,-25.92416000366211,5.311892032623291,-20.612268447875977,28.245283126831055
6,200,-10.69168472290039,5.095064163208008,-5.596620559692383,0.15032410621643066
6,300,-25.14152717590332,5.892449378967285,-19.24907684326172,20.224807739257812
