iteration,epoch,wd,gradient_penality,wd_loss,generator_loss
0,0,0.00021592341363430023,9.999423027038574,9.999638557434082,0.0037157307378947735
1,1000,0.8410091400146484,8.75566291809082,9.596672058105469,-7.4813714027404785
3,2000,-1.4358718395233154,6.875838279724121,5.439966201782227,0.49675822257995605
5,3000,-2.298597812652588,5.490794658660889,3.192196846008301,-0.9826536178588867
7,4000,-2.6188602447509766,5.367799282073975,2.748939037322998,-12.640846252441406
9,5000,0.8709778189659119,4.921672344207764,5.79265022277832,-2.5636062622070312
11,6000,-4.9635114669799805,4.453423023223877,-0.5100884437561035,-2.3522720336914062
13,7000,4.155424118041992,4.519582748413086,8.675006866455078,3.328573703765869
15,8000,-2.961268424987793,4.816279411315918,1.855010986328125,11.098464965820312
17,9000,-2.776914596557617,4.878729343414307,2.1018147468566895,13.872730255126953
19,10000,-6.739419937133789,4.466708183288574,-2.272711753845215,8.615398406982422
21,11000,1.3583345413208008,4.779860496520996,6.138195037841797,19.924362182617188
23,12000,-12.757329940795898,4.378296852111816,-8.379033088684082,2.0397634506225586
25,13000,-12.072446823120117,4.621248722076416,-7.451198101043701,21.6793155670166
27,14000,-8.741814613342285,4.431552886962891,-4.3102617263793945,20.652671813964844
29,15000,-14.762187957763672,4.159465789794922,-10.60272216796875,22.187204360961914
31,16000,-14.00567626953125,4.777114391326904,-9.228561401367188,31.37346649169922
32,17000,-12.060829162597656,4.831170082092285,-7.229659080505371,37.105262756347656
34,18000,1.2107086181640625,4.342911720275879,5.553620338439941,42.795265197753906
36,19000,-21.815673828125,4.3063178062438965,-17.509355545043945,46.393150329589844
38,20000,-4.996490478515625,4.897488117218018,-0.09900236129760742,46.94506072998047
40,21000,-8.882286071777344,4.060950756072998,-4.821335315704346,52.076812744140625
42,22000,-13.316230773925781,4.088235378265381,-9.227994918823242,38.26457595825195
44,23000,-5.6843109130859375,4.1189866065979,-1.565324306488037,53.19237518310547
46,24000,-8.58414077758789,4.2598443031311035,-4.324296474456787,26.777929306030273
48,25000,-18.323678970336914,5.0917887687683105,-13.231889724731445,34.398948669433594
50,26000,-18.801063537597656,4.790236473083496,-14.01082706451416,46.168701171875
52,27000,-7.508502960205078,4.605400562286377,-2.903102397918701,39.16994857788086
54,28000,-10.349000930786133,4.574704170227051,-5.774296760559082,29.01367950439453
56,29000,-6.5156402587890625,4.280547142028809,-2.235093116760254,37.412872314453125
58,30000,-11.353170394897461,4.535582065582275,-6.8175883293151855,41.2529296875
60,31000,-12.700424194335938,4.237657070159912,-8.462766647338867,48.156288146972656
62,32000,-11.394775390625,3.9685134887695312,-7.426261901855469,42.25489044189453
63,33000,-12.410934448242188,4.206271648406982,-8.204662322998047,56.27751159667969
