epoch: 0	train ppl: 429.24253654074556	val ppl: 220.89139011618417	best val: 220.89139011618417	time (s) spent in epoch: 49.5003707408905
epoch: 1	train ppl: 171.1214713716646	val ppl: 160.88536337477498	best val: 160.88536337477498	time (s) spent in epoch: 50.20382642745972
epoch: 2	train ppl: 119.1597543280725	val ppl: 140.87718656291443	best val: 140.87718656291443	time (s) spent in epoch: 50.215009450912476
epoch: 3	train ppl: 92.30030491891434	val ppl: 132.42962689964634	best val: 132.42962689964634	time (s) spent in epoch: 50.20758652687073
epoch: 4	train ppl: 75.255028885404	val ppl: 129.65538232430558	best val: 129.65538232430558	time (s) spent in epoch: 50.18292498588562
epoch: 5	train ppl: 63.11455140504251	val ppl: 132.298936912008	best val: 129.65538232430558	time (s) spent in epoch: 50.183311223983765
epoch: 6	train ppl: 54.352554600957234	val ppl: 135.29332004643837	best val: 129.65538232430558	time (s) spent in epoch: 50.18569779396057
epoch: 7	train ppl: 47.334599075970154	val ppl: 141.50783503231014	best val: 129.65538232430558	time (s) spent in epoch: 50.18290829658508
epoch: 8	train ppl: 41.64640304596509	val ppl: 149.57506052116398	best val: 129.65538232430558	time (s) spent in epoch: 50.141844272613525
epoch: 9	train ppl: 37.03286550669869	val ppl: 158.94648986161886	best val: 129.65538232430558	time (s) spent in epoch: 50.18675208091736
epoch: 10	train ppl: 33.385470417412066	val ppl: 169.32547241236566	best val: 129.65538232430558	time (s) spent in epoch: 50.17747139930725
epoch: 11	train ppl: 30.228252689721458	val ppl: 181.2511718370523	best val: 129.65538232430558	time (s) spent in epoch: 50.158445596694946
epoch: 12	train ppl: 27.57263812406991	val ppl: 194.75459669788904	best val: 129.65538232430558	time (s) spent in epoch: 50.16901922225952
epoch: 13	train ppl: 25.26556151649618	val ppl: 207.26143710005437	best val: 129.65538232430558	time (s) spent in epoch: 50.17564940452576
epoch: 14	train ppl: 23.280346367213674	val ppl: 223.36261986497237	best val: 129.65538232430558	time (s) spent in epoch: 50.13408541679382
epoch: 15	train ppl: 21.70866560967649	val ppl: 237.72546822084726	best val: 129.65538232430558	time (s) spent in epoch: 50.13581562042236
epoch: 16	train ppl: 20.28597308542256	val ppl: 253.360363726092	best val: 129.65538232430558	time (s) spent in epoch: 50.16896915435791
epoch: 17	train ppl: 19.092591366492098	val ppl: 270.7100576971952	best val: 129.65538232430558	time (s) spent in epoch: 50.17440342903137
epoch: 18	train ppl: 18.018043891932464	val ppl: 286.18440824511896	best val: 129.65538232430558	time (s) spent in epoch: 50.150240421295166
epoch: 19	train ppl: 17.082821593798574	val ppl: 303.6381974891084	best val: 129.65538232430558	time (s) spent in epoch: 50.15911650657654
epoch: 20	train ppl: 16.256926245545497	val ppl: 321.3486246888676	best val: 129.65538232430558	time (s) spent in epoch: 50.18056511878967
epoch: 21	train ppl: 15.545923295322519	val ppl: 337.9415349238535	best val: 129.65538232430558	time (s) spent in epoch: 50.14301943778992
epoch: 22	train ppl: 14.862807910184525	val ppl: 354.979475068009	best val: 129.65538232430558	time (s) spent in epoch: 50.15621757507324
epoch: 23	train ppl: 14.268514067751882	val ppl: 373.03034403219107	best val: 129.65538232430558	time (s) spent in epoch: 50.11138892173767
epoch: 24	train ppl: 13.743964786535154	val ppl: 392.90968031155234	best val: 129.65538232430558	time (s) spent in epoch: 50.150981426239014
epoch: 25	train ppl: 13.263922283090084	val ppl: 409.8194397907776	best val: 129.65538232430558	time (s) spent in epoch: 50.15650010108948
epoch: 26	train ppl: 12.825456282622007	val ppl: 430.14363593923923	best val: 129.65538232430558	time (s) spent in epoch: 50.15539789199829
epoch: 27	train ppl: 12.410519813802674	val ppl: 451.617407338432	best val: 129.65538232430558	time (s) spent in epoch: 50.14403319358826
epoch: 28	train ppl: 12.035696420880303	val ppl: 475.79467293851786	best val: 129.65538232430558	time (s) spent in epoch: 50.14887547492981
epoch: 29	train ppl: 11.692730259049792	val ppl: 496.23216220905766	best val: 129.65538232430558	time (s) spent in epoch: 50.160123109817505
epoch: 30	train ppl: 11.389890035180452	val ppl: 516.6050830997127	best val: 129.65538232430558	time (s) spent in epoch: 50.17886996269226
epoch: 31	train ppl: 11.076726646808098	val ppl: 536.232099011721	best val: 129.65538232430558	time (s) spent in epoch: 50.16488480567932
epoch: 32	train ppl: 10.810051955729165	val ppl: 564.989053660693	best val: 129.65538232430558	time (s) spent in epoch: 50.17628598213196
epoch: 33	train ppl: 10.567163047044275	val ppl: 573.1007799939954	best val: 129.65538232430558	time (s) spent in epoch: 50.1950523853302
epoch: 34	train ppl: 10.323420013128342	val ppl: 601.7500578870998	best val: 129.65538232430558	time (s) spent in epoch: 50.188068866729736
epoch: 35	train ppl: 10.09802286867944	val ppl: 626.7523519171283	best val: 129.65538232430558	time (s) spent in epoch: 50.184809923172
epoch: 36	train ppl: 9.903211246189514	val ppl: 640.7109287843602	best val: 129.65538232430558	time (s) spent in epoch: 50.15441656112671
epoch: 37	train ppl: 9.692815686458667	val ppl: 665.978779231091	best val: 129.65538232430558	time (s) spent in epoch: 50.13853669166565
epoch: 38	train ppl: 9.508178381065576	val ppl: 690.8490437059012	best val: 129.65538232430558	time (s) spent in epoch: 50.17076301574707
epoch: 39	train ppl: 9.350602497159006	val ppl: 704.9750982750182	best val: 129.65538232430558	time (s) spent in epoch: 50.17315483093262
